trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,grossMargins,ebitdaMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,operatingCashflow,trailingEps,forwardEps,bookValue,revenuePerShare,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,marketCap,dividendYield,payoutRatio,ticker
0.0002735739,-0.0016151202,-0.042727273,0.09770043,,5.3,-0.536,0.0,-34.54989,0.0,0.0,-4.3817997,-0.57133,-0.94,,,,0.088,0.05,249162.0,20747706.0,-14764088.0,-24694424.0,17.18,-2.91,-0.11,0.615,1.224,0.8,0.0001,287370.0,,0.0,SCPX
20.175,14.157894,1.8218759,0.5687484,,0.68,11.912,0.029240001,0.08371,0.33602002,0.05704,0.097770005,0.02931,0.048,-0.453,-0.445,61.049,1.659,1.034,257900000.0,620499968.0,5187500.0,17300000.0,0.8,1.14,8.859,28.563,1.251,17.4,9.32,1853551104.0,2.48,0.5,SCS
12.796875,10.949198,0.9886289,0.30072713,,0.306,7.209,0.02478,0.03584,0.13793999,0.04241,0.081149995,0.035150003,-0.046,0.29,0.171,15.877,2.157,1.125,124924000.0,145118000.0,55829124.0,90730000.0,3.2,3.74,41.421,131.162,1.289,53.9,28.75,903648896.0,,0.0,SCSC
8.352382,5.533123,0.70202124,0.41961247,,0.642,7.289,0.050580002,0.06267,0.36540002,0.0881,0.08777001,0.03801,-0.032,-0.243,-0.239,53.104,4.055,0.812,107663000.0,362791008.0,21311750.0,81809000.0,2.1,3.17,24.985,41.958,1.317,36.94,15.21,480119328.0,3.42,0.2786,SCVL
,-4.496667,6.42381,23.903246,,24.145,-2.72,0.0,-5.73468,-0.29759002,0.0,-2.32627,-1.02976,8.331,,,21.471,1.439,0.9,933328.0,1394969.0,-7948123.0,-13297172.0,-0.12,-0.06,0.042,0.013,-0.229,1.09,0.16,45663328.0,,0.0,SCWO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCWX
,4.3706665,0.75529957,9.383455,,-2.773,,0.0,-25.16467,1.0,0.0,-0.53286,-0.28851998,-0.494,,,6.27,5.75,5.659,37928000.0,2284000.0,-21688000.0,-33591000.0,-0.51,0.15,0.868,0.059,1.364,1.49,0.565,27512292.0,,0.0,SCYX
8.502793,7.3526573,1.1348892,3.589408,,2.944,4.564,0.42418,0.38534,0.70369005,0.64496005,0.14085001,0.062119998,0.325,-0.373,-0.374,0.27,2.173,2.046,101204000.0,1329000.0,16199750.0,94443000.0,1.79,2.07,13.411,4.228,0.499,15.56,8.81,559696384.0,3.15,0.2514,SD
,7.034483,7.0833335,0.4540931,,0.656,70.754,-0.02922,0.01474,0.1169,0.00927,-0.12659,-0.00227,0.019,,,96.753,1.261,0.823,45701000.0,83349000.0,68896376.0,5210000.0,-0.12,,0.288,4.6,0.062,10.61,1.54,209391408.0,,0.0,SDA
,-7.1417003,4.0421634,5.057172,,3.969,-6.214,-0.68491995,-0.84580004,0.58163,-0.63865,-0.45666,-0.16104999,0.539,,,34.711,3.251,3.092,391232992.0,111546000.0,-35546876.0,-1121000.0,-2.4,-2.47,4.364,3.508,1.569,28.47,15.99,1299445376.0,,0.0,SDGR
